surface,level,method,n,r2,mae_eV,max_abs_difference_eV,mean_difference_eV
HSR,instantaneous,legacy_sum,76742,1.0,1.6680601111713927e-15,9.325873406851315e-15,-2.110728666086502e-17
HSR,instantaneous,trapezoid,76742,0.9999842027767127,0.00010354708051023611,0.0005866143634656318,9.493840955371003e-05
TSR,instantaneous,legacy_sum,76958,1.0,1.414936384199633e-16,6.661338147750939e-16,3.2892077446728824e-19
TSR,instantaneous,trapezoid,76958,0.9999865768939169,0.00014958701854761789,0.0005355342950650321,0.00014529821680452947
HSR,baseline_hourly,legacy_A,12181,1.0,7.18322773308906e-16,4.6629367034256575e-15,-2.0890166426737204e-17
HSR,baseline_hourly,legacy_B,12181,0.9434584900971205,0.0026042723121837657,0.06723313321756152,-0.0024433946653504425
HSR,baseline_hourly,trapezoid_A,12181,0.9999810092761745,9.529301223709675e-05,0.000291706177903972,9.377381770519908e-05
HSR,baseline_hourly,trapezoid_B,12181,0.9442599239853293,0.0025945572427230608,0.06719057160660502,-0.002342778198009155
HSR,A_vs_B,trapezoid_B_minus_A,12181,0.9436443341246757,0.0025969845615326716,0.06706689173443081,-0.002436552015714354
HSR,A_vs_B,legacy_B_minus_A,12181,0.9434584900971207,0.0026042723121837696,0.06723313321756219,-0.0024433946653504217
TSR,baseline_hourly,legacy_A,12181,1.0,1.5837152348646844e-16,1.1102230246251565e-15,-2.6249423782287585e-18
TSR,baseline_hourly,legacy_B,12181,0.9655809710195756,0.002771657541726073,0.06562159418149438,-0.002455648604706229
TSR,baseline_hourly,trapezoid_A,12181,0.9999783733487402,0.00013552643710528924,0.00035676034360765385,0.00013504914467680665
TSR,baseline_hourly,trapezoid_B,12181,0.9662199144804208,0.002764441879815809,0.06546940946583968,-0.002313812227323785
TSR,A_vs_B,trapezoid_B_minus_A,12181,0.9656607851751667,0.0027642370968828387,0.06547075067869934,-0.0024488613720005914
TSR,A_vs_B,legacy_B_minus_A,12181,0.9655809710195756,0.002771657541726071,0.0656215941814946,-0.0024556486047062264
